#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    70   0.251019E-09  -0.769461E-12   0.201493E-09   0.916961E-08  -0.769461E-12   0.440503E-13  -0.546426E-12   0.939273E-12   0.201493E-09  -0.546426E-12   0.121559E-06   0.557255E-05   0.916961E-08   0.939273E-12   0.557255E-05   0.749245E-03
    71   0.254304E-09  -0.829957E-12   0.198380E-09   0.906719E-08  -0.829957E-12   0.458237E-13  -0.550204E-12   0.100714E-11   0.198380E-09  -0.550204E-12   0.120875E-06   0.558797E-05   0.906719E-08   0.100714E-11   0.558797E-05   0.761811E-03
    72   0.257641E-09  -0.892269E-12   0.195343E-09   0.896591E-08  -0.892269E-12   0.476268E-13  -0.549892E-12   0.106343E-11   0.195343E-09  -0.549892E-12   0.120189E-06   0.560236E-05   0.896591E-08   0.106343E-11   0.560236E-05   0.774276E-03
    73   0.261034E-09  -0.956406E-12   0.192378E-09   0.886581E-08  -0.956406E-12   0.494590E-13  -0.545765E-12   0.110370E-11   0.192378E-09  -0.545765E-12   0.119502E-06   0.561578E-05   0.886581E-08   0.110370E-11   0.561578E-05   0.786645E-03
    74   0.264472E-09  -0.102224E-11   0.189482E-09   0.876694E-08  -0.102224E-11   0.513185E-13  -0.538099E-12   0.112351E-11   0.189482E-09  -0.538099E-12   0.118813E-06   0.562829E-05   0.876694E-08   0.112351E-11   0.562829E-05   0.798920E-03
    75   0.267941E-09  -0.108958E-11   0.186652E-09   0.866935E-08  -0.108958E-11   0.532036E-13  -0.527321E-12   0.111970E-11   0.186652E-09  -0.527321E-12   0.118123E-06   0.563995E-05   0.866935E-08   0.111970E-11   0.563995E-05   0.811105E-03
    76   0.271424E-09  -0.115825E-11   0.183887E-09   0.857307E-08  -0.115825E-11   0.551126E-13  -0.514474E-12   0.109426E-11   0.183887E-09  -0.514474E-12   0.117432E-06   0.565083E-05   0.857307E-08   0.109426E-11   0.565083E-05   0.823208E-03
    77   0.274907E-09  -0.122810E-11   0.181188E-09   0.847815E-08  -0.122810E-11   0.570442E-13  -0.500751E-12   0.105048E-11   0.181188E-09  -0.500751E-12   0.116741E-06   0.566099E-05   0.847815E-08   0.105048E-11   0.566099E-05   0.835236E-03
    78   0.278395E-09  -0.129913E-11   0.178552E-09   0.838463E-08  -0.129913E-11   0.589969E-13  -0.487347E-12   0.991629E-12   0.178552E-09  -0.487347E-12   0.116049E-06   0.567048E-05   0.838463E-08   0.991629E-12   0.567048E-05   0.847196E-03
    79   0.281904E-09  -0.137139E-11   0.175980E-09   0.829255E-08  -0.137139E-11   0.609694E-13  -0.475455E-12   0.920994E-12   0.175980E-09  -0.475455E-12   0.115358E-06   0.567937E-05   0.829255E-08   0.920994E-12   0.567937E-05   0.859097E-03
    80   0.285442E-09  -0.144495E-11   0.173470E-09   0.820194E-08  -0.144495E-11   0.629602E-13  -0.466271E-12   0.841853E-12   0.173470E-09  -0.466271E-12   0.114667E-06   0.568773E-05   0.820194E-08   0.841853E-12   0.568773E-05   0.870946E-03
    81   0.289020E-09  -0.151982E-11   0.171022E-09   0.811286E-08  -0.151982E-11   0.649680E-13  -0.460987E-12   0.757485E-12   0.171022E-09  -0.460987E-12   0.113977E-06   0.569561E-05   0.811286E-08   0.757485E-12   0.569561E-05   0.882751E-03
    82   0.292635E-09  -0.159594E-11   0.168636E-09   0.802534E-08  -0.159594E-11   0.669914E-13  -0.460448E-12   0.670979E-12   0.168636E-09  -0.460448E-12   0.113288E-06   0.570306E-05   0.802534E-08   0.670979E-12   0.570306E-05   0.894519E-03
    83   0.296284E-09  -0.167326E-11   0.166310E-09   0.793939E-08  -0.167326E-11   0.690290E-13  -0.464088E-12   0.584652E-12   0.166310E-09  -0.464088E-12   0.112601E-06   0.571015E-05   0.793939E-08   0.584652E-12   0.571015E-05   0.906257E-03
    84   0.299967E-09  -0.175172E-11   0.164042E-09   0.785501E-08  -0.175172E-11   0.710791E-13  -0.470991E-12   0.500627E-12   0.164042E-09  -0.470991E-12   0.111916E-06   0.571690E-05   0.785501E-08   0.500627E-12   0.571690E-05   0.917973E-03
    85   0.303684E-09  -0.183131E-11   0.161832E-09   0.777224E-08  -0.183131E-11   0.731401E-13  -0.480243E-12   0.421030E-12   0.161832E-09  -0.480243E-12   0.111233E-06   0.572336E-05   0.777224E-08   0.421030E-12   0.572336E-05   0.929675E-03
